Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Renault,Kwid 1.0 RXT [2016-2019],5980,2018,22541,Petrol,Manual,Bangalore,Grey,First,Individual,999 cc,67,91,FWD,3679.0,1579.0,1478.0,5.0,28.0
Maruti Suzuki,Ciaz Alpha Hybrid 1.5 AT [2018-2020],13975,2019,30672,Petrol,Automatic,Bangalore,Blue,First,Individual,1462 cc,103,138,FWD,4490.0,1730.0,1485.0,5.0,43.0
Tata,Harrier XZ [2019-2020],22035,2019,20856,Diesel,Manual,Bangalore,Orange,First,Individual,1956 cc,138,350,FWD,4598.0,1894.0,1706.0,5.0,50.0
Volkswagen,Polo GT TSI,12285,2017,41417,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,103,175,FWD,3971.0,1682.0,1469.0,5.0,45.0
Maruti Suzuki,Celerio ZXi AMT [2019-2020],7397,2016,11471,Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,67,90,FWD,3695.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Alto 800 LXi (O),5837,2019,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796 cc,47,69,FWD,3445.0,1515.0,1475.0,5.0,35.0
Maruti Suzuki,Baleno Alpha Automatic,11635,2018,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197 cc,82,113,FWD,3995.0,1745.0,1510.0,5.0,37.0
Maruti Suzuki,Wagon R ZXi 1.2 AMT,9087,2020,30777,Petrol,Automatic,Bangalore,White,First,Individual,1197 cc,82,113,FWD,3655.0,1620.0,1675.0,5.0,32.0
Hyundai,Creta 1.6 E Petrol,9620,2016,60125,Petrol,Manual,Delhi,Silver,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,S-Presso VXi AMT,6110,2020,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998 cc,67,90,FWD,3565.0,1520.0,1564.0,5.0,27.0
Volkswagen,Vento Comfortline Petrol AT,9945,2015,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,1197 cc,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0
Hyundai,Santro Sportz AMT [2018-2020],7657,2018,13772,Petrol,Automatic,Bangalore,White,First,Individual,1086 cc,68,99,FWD,3610.0,1645.0,1560.0,5.0,35.0
Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],12987,2019,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998 cc,118,172,FWD,3995.0,1770.0,1605.0,5.0,45.0
Maruti Suzuki,Alto LXi CNG,4810,2019,47377,CNG,Manual,Delhi,Grey,First,Individual,998 cc,58,78,FWD,3545.0,1490.0,1475.0,4.0,60.0
Maruti Suzuki,Ritz Zxi BS-IV,4225,2013,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197 cc,85,113,FWD,3775.0,1680.0,1620.0,5.0,43.0
Hyundai,Creta 1.6 SX Plus Petrol,15275,2019,36313,Petrol,Manual,Mumbai,Grey,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Honda,Brio V MT,4563,2014,39276,Petrol,Manual,Mumbai,Red,First,Individual,1198 cc,87,109,FWD,3610.0,1680.0,1500.0,5.0,35.0
Hyundai,Elite i20 Asta 1.2,7163,2015,47752,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Honda,WR-V VX MT Petrol,10660,2018,27963,Petrol,Manual,Delhi,White,First,Individual,1199 cc,89,110,FWD,3999.0,1734.0,1601.0,5.0,40.0
Hyundai,Venue SX 1.0 Turbo iMT,12870,2020,24013,Petrol,Manual,Mumbai,Blue,First,Individual,998 cc,118,172,FWD,3995.0,1770.0,1605.0,5.0,45.0
Hyundai,Creta 1.6 SX Plus AT,12025,2016,66000,Diesel,Automatic,Raipur,Black,First,Individual,1582 cc,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0
Ford,Ecosport Titanium+ 1.0L EcoBoost,6955,2015,28000,Petrol,Manual,Mumbai,Silver,First,Individual,999 cc,124,170,FWD,3999.0,1765.0,1708.0,5.0,52.0
Hyundai,Santro GL (CNG),1885,2009,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086 cc,62,96,FWD,3565.0,1525.0,1590.0,5.0,35.0
Tata,Tiago Revotron XE [2016-2019],5317,2018,27069,Petrol,Manual,Mumbai,White,First,Individual,1199 cc,84,114,FWD,3746.0,1647.0,1535.0,5.0,35.0
Tata,Tigor Revotorq XT,6370,2018,43000,Diesel,Manual,Patna,White,First,Individual,1047 cc,69,140,FWD,3992.0,1677.0,1537.0,5.0,35.0
Toyota,Innova 2.4 G 8 STR [2016-2017],24700,2019,71000,Diesel,Manual,Mumbai,Bronze,First,Individual,2393 cc,148,343,RWD,4735.0,1830.0,1795.0,8.0,55.0
Mercedes-Benz,GLC 220 d Progressive,50050,2017,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,2143 cc,168,400,AWD,4656.0,1890.0,1639.0,5.0,66.0
Hyundai,Creta SX 1.6 CRDi (O),14625,2018,60000,Diesel,Manual,Patna,White,First,Individual,1582 cc,126,260,FWD,4270.0,1780.0,1665.0,5.0,55.0
Mercedes-Benz,M-Class ML 250 CDI,29900,2014,105101,Diesel,Automatic,Vadodara,White,First,Individual,2143 cc,203,500,AWD,4804.0,2141.0,1796.0,5.0,70.0
Toyota,Corolla Altis VL AT Petrol,14235,2016,45000,Petrol,Automatic,Mumbai,Black,First,Individual,1798 cc,138,173,FWD,4620.0,1775.0,1475.0,5.0,55.0
Audi,A4 2.0 TDI (177bhp) Premium Plus,20475,2013,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968 cc,177,380,FWD,4701.0,1826.0,1427.0,5.0,63.0
Mercedes-Benz,SLK-Class SLK 200 K,31200,2010,34105,Petrol,Automatic,Mumbai,Grey,First,Individual,1796 cc,165,240,RWD,4082.0,1777.0,1297.0,2.0,70.0
Hyundai,Elite i20 Asta 1.2,6825,2015,68397,Petrol,Manual,Patna,Gold,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Mahindra,Thar CRDe 4x4 AC,8125,2015,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,2498 cc,105,247,AWD,3920.0,1726.0,1930.0,6.0,60.0
Maruti Suzuki,Baleno Delta 1.2,7865,2019,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Maruti Suzuki,Celerio VXi AMT,5356,2016,41058,Petrol,Automatic,Delhi,Silver,First,Individual,998 cc,67,90,FWD,3600.0,1600.0,1560.0,5.0,35.0
Maruti Suzuki,Ciaz VDi SHVS,8125,2016,51330,Diesel,Manual,Mumbai,Brown,First,Individual,1248 cc,89,200,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,Ciaz VXi,6643,2015,45969,Petrol,Manual,Mumbai,Silver,First,Individual,1373 cc,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0
Hyundai,Creta SX Plus 1.6 AT CRDI,14950,2017,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582 cc,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0
Hyundai,Creta SX Plus 1.6  Petrol,11505,2016,57983,Petrol,Manual,Mumbai,White,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Renault,Kwid 1.0 RXT AMT Opt,6110,2019,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999 cc,67,91,FWD,3679.0,1579.0,1478.0,5.0,28.0
MG,Hector Sharp 2.0 Diesel [2019-2020],20943,2019,46301,Diesel,Manual,Mumbai,White,First,Individual,1956 cc,169,350,FWD,4655.0,1835.0,1760.0,5.0,60.0
Tata,Tiago Revotron XZA [2017-2019],6175,2017,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199 cc,84,114,FWD,3746.0,1647.0,1535.0,5.0,35.0
Toyota,Innova 2.5 GX BS IV 7 STR,11245,2015,43634,Diesel,Manual,Delhi,Silver,First,Individual,2494 cc,101,200,RWD,4585.0,1765.0,1760.0,7.0,55.0
BMW,X3 xDrive 20d Luxury Line [2018-2020],49400,2018,9512,Diesel,Automatic,Mumbai,Blue,First,Corporate,1995 cc,190,400,AWD,4657.0,1881.0,1678.0,5.0,67.0
Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,32175,2020,11293,Diesel,Automatic,Mumbai,White,First,Individual,1956 cc,171,350,AWD,4395.0,1818.0,1640.0,5.0,60.0
Mahindra,Scorpio SLE BS-IV,5200,2014,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179 cc,120,290,RWD,4430.0,1817.0,1975.0,8.0,60.0
Honda,Brio S MT,5720,2016,50374,Petrol,Manual,Vadodara,White,First,Individual,1198 cc,87,109,FWD,3610.0,1680.0,1500.0,5.0,35.0
BMW,3-Series 320i Luxury Line,36400,2017,15900,Petrol,Automatic,Delhi,White,First,Individual,1998 cc,181,270,RWD,4633.0,1811.0,1429.0,5.0,57.0
Honda,City V Petrol [2017-2019],8385,2017,64000,Petrol,Manual,Mumbai,White,First,Individual,1497 cc,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0
Volkswagen,Polo Highline1.2L (D),4745,2013,78000,Diesel,Manual,Jaipur,Silver,First,Individual,1199 cc,74,180,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,Vitara Brezza ZXi Plus,13585,2021,24000,Petrol,Manual,Mumbai,Silver,First,Individual,1462 cc,103,138,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,Eeco 7 STR [2019-2020],6695,2019,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196 cc,73,101,RWD,3675.0,1475.0,1800.0,7.0,40.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],5915,2015,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197 cc,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0
BMW,X3 xDrive20d,23400,2012,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,1995 cc,184,380,AWD,4648.0,1881.0,1661.0,5.0,67.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],45487,2019,73000,Diesel,Automatic,Mumbai,White,First,Individual,2755 cc,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0
Honda,Civic 1.8S MT,2470,2006,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799 cc,130,171,FWD,4545.0,1750.0,1450.0,5.0,50.0
Maruti Suzuki,Swift ZXi Plus AMT,10075,2021,24000,Petrol,Automatic,Agra,Grey,First,Individual,1197 cc,89,113,FWD,3845.0,1735.0,1530.0,5.0,37.0
Hyundai,Elite i20 Sportz 1.5 MT Diesel,10725,2021,43000,Diesel,Manual,Agra,White,First,Individual,1493 cc,99,240,FWD,3995.0,1775.0,1505.0,5.0,37.0
Audi,A3 35 TDI Technology + Sunroof,29250,2016,40500,Diesel,Automatic,Goa,White,First,Individual,1968 cc,141,320,FWD,4456.0,1796.0,1416.0,5.0,50.0
Honda,City V CVT Petrol [2017-2019],11245,2017,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497 cc,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0
Ford,Figo Duratorq Diesel Titanium 1.4,3887,2013,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399 cc,68,160,FWD,3795.0,1680.0,1427.0,5.0,45.0
Honda,Jazz VX Petrol,7410,2017,92270,Petrol,Manual,Mumbai,Brown,First,Individual,1199 cc,89,110,FWD,3955.0,1694.0,1544.0,5.0,40.0
Volkswagen,Polo Highline1.2L (P),5005,2013,65000,Petrol,Manual,Mumbai,White,First,Individual,1198 cc,74,110,FWD,3970.0,1682.0,1453.0,5.0,45.0
Honda,Amaze 1.5 SX i-DTEC,4550,2014,110000,Diesel,Manual,Warangal,Black,First,Individual,1498 cc,99,200,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,Camry 2.5L AT,30485,2017,47000,Petrol,Automatic,Delhi,Brown,First,Individual,2494 cc,179,233,FWD,4825.0,1825.0,1480.0,5.0,70.0
Mahindra,Thar LX 4-STR Hard Top Petrol AT,21450,2022,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,1997 cc,150,320,AWD,3985.0,1820.0,1844.0,4.0,57.0
Mercedes-Benz,C-Class 250 CDI Elegance,14300,2011,51500,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143 cc,207,500,RWD,4596.0,1770.0,1447.0,5.0,66.0
Audi,Q3 35 TDI quattro Premium Plus,37700,2018,35000,Diesel,Automatic,Pune,White,First,Individual,1968 cc,184,380,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,Baleno Sigma 1.2,7085,2017,61518,Petrol,Manual,Noida,Red,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
BMW,X1 sDrive20d xLine,38870,2018,34000,Diesel,Automatic,Delhi,White,First,Corporate,1995 cc,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0
Maruti Suzuki,Baleno Zeta 1.2,7995,2017,36058,Petrol,Manual,Mumbai,Silver,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Hyundai,Creta 1.6 SX Plus AT,11570,2016,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582 cc,126,265,FWD,4270.0,1780.0,1630.0,5.0,60.0
Volkswagen,Vento Comfortline Petrol,5590,2015,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598 cc,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0
Mercedes-Benz,C-Class 220 BlueEfficiency,21450,2013,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143 cc,170,400,RWD,4596.0,1770.0,1447.0,5.0,66.0
Toyota,Camry Hybrid,20787,2015,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,2494 cc,202,270,FWD,4825.0,1825.0,1480.0,5.0,65.0
Maruti Suzuki,DZire VXi,8983,2019,16652,Petrol,Manual,Ahmedabad,White,First,Individual,1197 cc,89,113,FWD,3995.0,1735.0,1515.0,5.0,37.0
Nissan,Terrano XV D THP 110 PS,8450,2016,76584,Diesel,Manual,Mumbai,White,First,Individual,1461 cc,108,248,FWD,4331.0,1822.0,1671.0,5.0,50.0
Maruti Suzuki,Wagon R LXI CNG,5395,2015,42500,CNG,Manual,Mumbai,Brown,First,Individual,998 cc,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],8697,2016,70000,Diesel,Manual,Mohali,Grey,First,Individual,1248 cc,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0
Porsche,Cayenne Coupe Platinum Edition,210600,2022,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,2995 cc,335,450,AWD,4931.0,1983.0,1676.0,4.0,75.0
Mercedes-Benz,C-Class Cabriolet C 300,66300,2017,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991 cc,241,370,RWD,4686.0,1810.0,1409.0,4.0,59.0
Hyundai,Elite i20 Magna 1.2,6825,2015,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,Verna 1.6 VTVT SX,9750,2018,16339,Petrol,Manual,Kolkata,Black,First,Individual,1591 cc,121,158,FWD,4375.0,1700.0,1475.0,5.0,43.0
Honda,Amaze 1.2 SX i-VTEC,5785,2016,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,1198 cc,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0
Toyota,Corolla Altis 1.8 G,6409,2012,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798 cc,138,173,FWD,4540.0,1760.0,1480.0,5.0,55.0
Hyundai,Elite i20 Sportz 1.2 (O),7943,2017,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],6175,2014,61866,Petrol,Automatic,Thane,White,First,Individual,1197 cc,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,Creta SX Plus 1.6  Petrol,12025,2017,29401,Petrol,Manual,Mumbai,Grey,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Audi,A6 2.0 TDI Premium,17225,2012,98580,Diesel,Automatic,Goa,White,First,Individual,1968 cc,177,380,FWD,4915.0,1874.0,1455.0,5.0,65.0
BMW,X1 sDrive20d xLine,50700,2021,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995 cc,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0
Mahindra,XUV300 W8 (O) 1.5 Diesel,16887,2020,31348,Diesel,Manual,Bangalore,White,First,Individual,1497 cc,115,300,FWD,3995.0,1821.0,1627.0,5.0,42.0
Maruti Suzuki,Swift ZDi Plus,7540,2018,28851,Diesel,Manual,Kolkata,Blue,First,Corporate,1248 cc,74,190,FWD,3840.0,1735.0,1530.0,5.0,37.0
Mahindra,Thar LX 4-STR Hard Top Petrol MT,20475,2021,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997 cc,150,300,AWD,3985.0,1820.0,1844.0,4.0,57.0
Honda,City 1.5 S MT,4875,2011,78000,Petrol,Manual,Pune,Bronze,First,Individual,1497 cc,118,146,FWD,4420.0,1695.0,1480.0,5.0,42.0
Mercedes-Benz,E-Class E 250 CDI Avantgarde,29250,2015,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143 cc,204,500,RWD,4879.0,1854.0,1474.0,5.0,80.0
Toyota,Fortuner 3.0 4x2 AT,18200,2014,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982 cc,169,360,RWD,4705.0,1840.0,1850.0,7.0,80.0
Tata,Zest XM 75 PS Diesel,5525,2017,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248 cc,74,190,FWD,3995.0,1706.0,1570.0,5.0,44.0
Skoda,Rapid Ambition 1.6 MPI AT Plus,5525,2014,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598 cc,104,153,FWD,4386.0,1699.0,1466.0,5.0,55.0
Maruti Suzuki,Alto 800 Lxi,3250,2015,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796 cc,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0
Maruti Suzuki,Ertiga VDi,5525,2012,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248 cc,89,200,FWD,4265.0,1695.0,1685.0,7.0,45.0
Ford,Figo Duratorq Diesel ZXI 1.4,3055,2014,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399 cc,68,160,FWD,3795.0,1680.0,1427.0,5.0,45.0
Audi,A3 35 TDI Technology + Sunroof,39650,2020,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968 cc,141,320,FWD,4456.0,1796.0,1416.0,5.0,50.0
Tata,Harrier XZ Plus,27885,2020,10290,Diesel,Manual,Bangalore,Red,First,Individual,1956 cc,168,350,FWD,4598.0,1894.0,1706.0,5.0,50.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,16185,2021,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998 cc,118,172,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Elite i20 Asta 1.2,7137,2015,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Volkswagen,Polo Highline1.2L (D),6305,2013,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199 cc,74,180,FWD,3970.0,1682.0,1453.0,5.0,45.0
Maruti Suzuki,Swift DZire VXI,5395,2014,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197 cc,85,114,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,Santro GL (CNG),2600,2013,57000,CNG,Manual,Kanpur,White,First,Individual,1086 cc,62,96,FWD,3565.0,1525.0,1590.0,5.0,35.0
Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],4875,2015,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197 cc,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0
Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],24375,2022,18000,Petrol,Automatic,Delhi,Black,First,Individual,1353 cc,138,242,FWD,4300.0,1790.0,1635.0,5.0,50.0
Audi,Q2 Premium Plus I 40 TFSI quattro,38350,2020,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984 cc,188,320,AWD,4318.0,1805.0,1548.0,5.0,55.0
Audi,Q7 45 TDI Premium Plus,63700,2018,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967 cc,245,600,AWD,5052.0,1968.0,1740.0,7.0,75.0
Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,13650,2020,16282,Petrol,Automatic,Pune,White,First,Individual,998 cc,118,172,FWD,3995.0,1775.0,1505.0,5.0,37.0
Hyundai,Verna Fluidic 1.6 CRDi SX,6110,2013,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582 cc,126,260,FWD,4370.0,1700.0,1475.0,5.0,43.0
Maruti Suzuki,Wagon R VXI,4485,2017,72019,Petrol,Manual,Ranchi,Silver,Second,Individual,998 cc,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0
Mahindra,Scorpio 2.6 Turbo 7 Str,7150,2007,92170,Diesel,Manual,Ranchi,White,Second,Individual,2609 cc,116,277,RWD,4495.0,1817.0,1975.0,7.0,60.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],6305,2018,55221,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],43550,2018,25000,Diesel,Automatic,Noida,White,First,Individual,2755 cc,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0
Audi,Q5 45 TFSI Premium Plus,73463,2022,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,1984 cc,248,370,AWD,4663.0,1898.0,1659.0,5.0,70.0
Renault,Duster RXS 1.5 Petrol MT,11570,2020,23500,Petrol,Manual,Chennai,White,First,Individual,1498 cc,105,142,FWD,4360.0,1822.0,1695.0,5.0,50.0
Maruti Suzuki,Swift DZire VXI,4225,2012,68000,Petrol,Manual,Kanpur,White,Second,Individual,1197 cc,85,114,FWD,3995.0,1695.0,1555.0,5.0,42.0
Hyundai,Creta SX 1.6 AT Petrol,18070,2019,29096,Petrol,Automatic,Mumbai,White,First,Individual,1591 cc,122,151,FWD,4270.0,1780.0,1665.0,5.0,55.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],5980,2016,61223,Petrol,Manual,Kanpur,White,First,Individual,1197 cc,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],13975,2017,86000,Diesel,Manual,Ludhiana,White,First,Individual,1956 cc,171,350,FWD,4395.0,1818.0,1640.0,5.0,60.0
Hyundai,Verna EX 1.6 CRDi [2017-2018],6305,2013,87000,Diesel,Manual,Ludhiana,White,First,Individual,1582 cc,126,260,FWD,4440.0,1729.0,1475.0,5.0,45.0
Hyundai,i20 Magna 1.2,5005,2013,79287,Petrol,Manual,Kanpur,White,First,Individual,1197 cc,83,113,FWD,3995.0,1710.0,1505.0,5.0,45.0
Audi,A6 35 TDI Matrix,50700,2018,48945,Diesel,Automatic,Goa,Black,First,Corporate,1968 cc,190,400,FWD,4933.0,1874.0,1455.0,5.0,75.0
Mahindra,Marazzo M2 8 STR,13650,2019,17000,Diesel,Manual,Lucknow,Green,First,Individual,1497 cc,121,300,FWD,4585.0,1866.0,1774.0,8.0,45.0
Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],20475,2019,55000,Diesel,Manual,Lucknow,Silver,First,Individual,1493 cc,113,250,FWD,4315.0,1800.0,1645.0,5.0,50.0
Maruti Suzuki,Baleno Alpha 1.2,8515,2016,38779,Petrol,Manual,Mumbai,Blue,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mercedes-Benz,E-Class E 220d Expression [2019-2019],58500,2019,72000,Diesel,Automatic,Pune,White,First,Individual,1950 cc,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0
Maruti Suzuki,Ertiga ZDI + SHVS,11245,2016,67000,Diesel,Manual,Navi Mumbai,White,First,Individual,1248 cc,89,200,FWD,4296.0,1695.0,1685.0,7.0,45.0
Hyundai,Verna Fluidic 1.6 VTVT SX,9087,2017,67000,Petrol,Manual,Navi Mumbai,White,First,Individual,1591 cc,121,158,FWD,4370.0,1700.0,1475.0,5.0,43.0
Hyundai,Verna Fluidic 1.6 CRDi SX,5525,2012,70000,Diesel,Manual,Jalandhar,White,Second,Individual,1582 cc,126,260,FWD,4370.0,1700.0,1475.0,5.0,43.0
Land Rover,Discovery Sport S,84500,2020,6000,Diesel,Automatic,Hyderabad,White,First,Individual,1999 cc,177,430,AWD,4600.0,2069.0,1724.0,7.0,70.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],37700,2017,46000,Diesel,Automatic,Delhi,White,First,Individual,2755 cc,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0
