Age,Make,Model,Price,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
7,Maruti Suzuki,Celerio ZXi AMT [2019-2020],7397,11471,Petrol,Automatic,Bangalore,Red,First,Individual,998,67.0,3500,FWD,3695.0,1600.0,1560.0,5.0,35.0
4,Maruti Suzuki,Alto 800 LXi (O),5837,3583,Petrol,Manual,Bangalore,Grey,First,Individual,796,47.0,3500,FWD,3445.0,1515.0,1475.0,5.0,35.0
5,Maruti Suzuki,Baleno Alpha Automatic,11635,21365,Petrol,Automatic,Bangalore,Grey,First,Individual,1197,82.0,4200,FWD,3995.0,1745.0,1510.0,5.0,37.0
3,Maruti Suzuki,Wagon R ZXi 1.2 AMT,9087,30777,Petrol,Automatic,Bangalore,White,First,Individual,1197,82.0,4200,FWD,3655.0,1620.0,1675.0,5.0,32.0
7,Hyundai,Creta 1.6 E Petrol,9620,60125,Petrol,Manual,Delhi,Silver,First,Individual,1591,122.0,4850,FWD,4270.0,1780.0,1630.0,5.0,60.0
3,Maruti Suzuki,S-Presso VXi AMT,6110,2169,Petrol,Automatic,Mumbai,Grey,First,Individual,998,67.0,3500,FWD,3565.0,1520.0,1564.0,5.0,27.0
8,Volkswagen,Vento Comfortline Petrol AT,9945,60240,Petrol,Automatic,Bangalore,Brown,First,Individual,1197,103.0,3800,FWD,4384.0,1699.0,1466.0,5.0,55.0
5,Hyundai,Santro Sportz AMT [2018-2020],7657,13772,Petrol,Automatic,Bangalore,White,First,Individual,1086,68.0,4500,FWD,3610.0,1645.0,1560.0,5.0,35.0
4,Hyundai,Venue SX 1.0 (O) Petrol [2019-2020],12987,27464,Petrol,Manual,Bangalore,Blue,First,Individual,998,118.0,1500,FWD,3995.0,1770.0,1605.0,5.0,45.0
4,Maruti Suzuki,Alto LXi CNG,4810,47377,CNG,Manual,Delhi,Grey,First,Individual,998,58.0,3500,FWD,3545.0,1490.0,1475.0,4.0,60.0
10,Maruti Suzuki,Ritz Zxi BS-IV,4225,23086,Petrol,Manual,Mumbai,Grey,First,Individual,1197,85.0,4500,FWD,3775.0,1680.0,1620.0,5.0,43.0
4,Hyundai,Creta 1.6 SX Plus Petrol,15275,36313,Petrol,Manual,Mumbai,Grey,First,Individual,1591,122.0,4850,FWD,4270.0,1780.0,1630.0,5.0,60.0
9,Honda,Brio V MT,4563,39276,Petrol,Manual,Mumbai,Red,First,Individual,1198,87.0,4500,FWD,3610.0,1680.0,1500.0,5.0,35.0
8,Hyundai,Elite i20 Asta 1.2,7163,47752,Petrol,Manual,Mumbai,White,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
5,Honda,WR-V VX MT Petrol,10660,27963,Petrol,Manual,Delhi,White,First,Individual,1199,89.0,4800,FWD,3999.0,1734.0,1601.0,5.0,40.0
3,Hyundai,Venue SX 1.0 Turbo iMT,12870,24013,Petrol,Manual,Mumbai,Blue,First,Individual,998,118.0,1500,FWD,3995.0,1770.0,1605.0,5.0,45.0
7,Hyundai,Creta 1.6 SX Plus AT,12025,66000,Diesel,Automatic,Raipur,Black,First,Individual,1582,126.0,1900,FWD,4270.0,1780.0,1630.0,5.0,60.0
8,Ford,Ecosport Titanium+ 1.0L EcoBoost,6955,28000,Petrol,Manual,Mumbai,Silver,First,Individual,999,124.0,1400,FWD,3999.0,1765.0,1708.0,5.0,52.0
14,Hyundai,Santro GL (CNG),1885,72000,CNG,Manual,Kanpur,Silver,Second,Individual,1086,62.0,3000,FWD,3565.0,1525.0,1590.0,5.0,35.0
5,Tata,Tiago Revotron XE [2016-2019],5317,27069,Petrol,Manual,Mumbai,White,First,Individual,1199,84.0,3500,FWD,3746.0,1647.0,1535.0,5.0,35.0
5,Tata,Tigor Revotorq XT,6370,43000,Diesel,Manual,Patna,White,First,Individual,1047,69.0,1800,FWD,3992.0,1677.0,1537.0,5.0,35.0
4,Toyota,Innova 2.4 G 8 STR [2016-2017],24700,71000,Diesel,Manual,Mumbai,Bronze,First,Individual,2393,148.0,1400,RWD,4735.0,1830.0,1795.0,8.0,55.0
6,Mercedes-Benz,GLC 220 d Progressive,50050,45600,Diesel,Automatic,Mumbai,Black,Second,Individual,2143,168.0,1400,AWD,4656.0,1890.0,1639.0,5.0,66.0
5,Hyundai,Creta SX 1.6 CRDi (O),14625,60000,Diesel,Manual,Patna,White,First,Individual,1582,126.0,1500,FWD,4270.0,1780.0,1665.0,5.0,55.0
9,Mercedes-Benz,M-Class ML 250 CDI,29900,105101,Diesel,Automatic,Vadodara,White,First,Individual,2143,203.0,1600,AWD,4804.0,2141.0,1796.0,5.0,70.0
7,Toyota,Corolla Altis VL AT Petrol,14235,45000,Petrol,Automatic,Mumbai,Black,First,Individual,1798,138.0,4000,FWD,4620.0,1775.0,1475.0,5.0,55.0
10,Audi,A4 2.0 TDI (177bhp) Premium Plus,20475,66000,Diesel,Automatic,Hyderabad,White,First,Individual,1968,177.0,1750,FWD,4701.0,1826.0,1427.0,5.0,63.0
13,Mercedes-Benz,SLK-Class SLK 200 K,31200,34105,Petrol,Automatic,Mumbai,Grey,First,Individual,1796,165.0,3000,RWD,4082.0,1777.0,1297.0,2.0,70.0
8,Hyundai,Elite i20 Asta 1.2,6825,68397,Petrol,Manual,Patna,Gold,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
8,Mahindra,Thar CRDe 4x4 AC,8125,65000,Diesel,Manual,Yamunanagar,White,Second,Individual,2498,105.0,1800,AWD,3920.0,1726.0,1930.0,6.0,60.0
4,Maruti Suzuki,Baleno Delta 1.2,7865,27469,Petrol,Manual,Delhi,Silver,First,Individual,1197,83.0,4000,FWD,3995.0,1745.0,1500.0,5.0,37.0
7,Maruti Suzuki,Celerio VXi AMT,5356,41058,Petrol,Automatic,Delhi,Silver,First,Individual,998,67.0,3500,FWD,3600.0,1600.0,1560.0,5.0,35.0
7,Maruti Suzuki,Ciaz VDi SHVS,8125,51330,Diesel,Manual,Mumbai,Brown,First,Individual,1248,89.0,1750,FWD,4490.0,1730.0,1485.0,5.0,43.0
8,Maruti Suzuki,Ciaz VXi,6643,45969,Petrol,Manual,Mumbai,Silver,First,Individual,1373,91.0,4000,FWD,4490.0,1730.0,1485.0,5.0,43.0
6,Hyundai,Creta SX Plus 1.6 AT CRDI,14950,66602,Diesel,Automatic,Mumbai,Grey,First,Individual,1582,126.0,1900,FWD,4270.0,1780.0,1630.0,5.0,60.0
7,Hyundai,Creta SX Plus 1.6  Petrol,11505,57983,Petrol,Manual,Mumbai,White,First,Individual,1591,122.0,4850,FWD,4270.0,1780.0,1630.0,5.0,60.0
4,Renault,Kwid 1.0 RXT AMT Opt,6110,11183,Petrol,Automatic,Mumbai,Silver,First,Individual,999,67.0,4250,FWD,3679.0,1579.0,1478.0,5.0,28.0
4,MG,Hector Sharp 2.0 Diesel [2019-2020],20943,46301,Diesel,Manual,Mumbai,White,First,Individual,1956,169.0,1750,FWD,4655.0,1835.0,1760.0,5.0,60.0
6,Tata,Tiago Revotron XZA [2017-2019],6175,34867,Petrol,Automatic,Mumbai,Silver,Second,Individual,1199,84.0,3500,FWD,3746.0,1647.0,1535.0,5.0,35.0
8,Toyota,Innova 2.5 GX BS IV 7 STR,11245,43634,Diesel,Manual,Delhi,Silver,First,Individual,2494,101.0,1200,RWD,4585.0,1765.0,1760.0,7.0,55.0
5,BMW,X3 xDrive 20d Luxury Line [2018-2020],49400,9512,Diesel,Automatic,Mumbai,Blue,First,Corporate,1995,190.0,1750,AWD,4657.0,1881.0,1678.0,5.0,67.0
3,Jeep,Compass Limited Plus 2.0 Diesel 4x4 AT,32175,11293,Diesel,Automatic,Mumbai,White,First,Individual,1956,171.0,1750,AWD,4395.0,1818.0,1640.0,5.0,60.0
9,Mahindra,Scorpio SLE BS-IV,5200,78000,Diesel,Manual,Gurgaon,White,Second,Individual,2179,120.0,1800,RWD,4430.0,1817.0,1975.0,8.0,60.0
7,Honda,Brio S MT,5720,50374,Petrol,Manual,Vadodara,White,First,Individual,1198,87.0,4500,FWD,3610.0,1680.0,1500.0,5.0,35.0
6,BMW,3-Series 320i Luxury Line,36400,15900,Petrol,Automatic,Delhi,White,First,Individual,1998,181.0,1350,RWD,4633.0,1811.0,1429.0,5.0,57.0
6,Honda,City V Petrol [2017-2019],8385,64000,Petrol,Manual,Mumbai,White,First,Individual,1497,117.0,4600,FWD,4440.0,1695.0,1495.0,5.0,40.0
10,Volkswagen,Polo Highline1.2L (D),4745,78000,Diesel,Manual,Jaipur,Silver,First,Individual,1199,74.0,2000,FWD,3970.0,1682.0,1453.0,5.0,45.0
2,Maruti Suzuki,Vitara Brezza ZXi Plus,13585,24000,Petrol,Manual,Mumbai,Silver,First,Individual,1462,103.0,4400,FWD,3995.0,1790.0,1640.0,5.0,48.0
4,Maruti Suzuki,Eeco 7 STR [2019-2020],6695,40310,Petrol,Manual,Pune,Grey,Second,Individual,1196,73.0,3000,RWD,3675.0,1475.0,1800.0,7.0,40.0
8,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],5915,69700,Petrol,Automatic,Mumbai,Blue,First,Individual,1197,79.0,4000,FWD,3765.0,1660.0,1520.0,5.0,43.0
11,BMW,X3 xDrive20d,23400,74073,Diesel,Automatic,Hyderabad,Black,First,Individual,1995,184.0,1750,AWD,4648.0,1881.0,1661.0,5.0,67.0
4,Toyota,Fortuner 2.8 4x2 AT [2016-2020],45487,73000,Diesel,Automatic,Mumbai,White,First,Individual,2755,174.0,1600,RWD,4795.0,1855.0,1835.0,7.0,80.0
17,Honda,Civic 1.8S MT,2470,130000,Petrol,Manual,Deoghar,Maroon,Third,Individual,1799,130.0,4300,FWD,4545.0,1750.0,1450.0,5.0,50.0
2,Maruti Suzuki,Swift ZXi Plus AMT,10075,24000,Petrol,Automatic,Agra,Grey,First,Individual,1197,89.0,4400,FWD,3845.0,1735.0,1530.0,5.0,37.0
2,Hyundai,Elite i20 Sportz 1.5 MT Diesel,10725,43000,Diesel,Manual,Agra,White,First,Individual,1493,99.0,1500,FWD,3995.0,1775.0,1505.0,5.0,37.0
7,Audi,A3 35 TDI Technology + Sunroof,29250,40500,Diesel,Automatic,Goa,White,First,Individual,1968,141.0,1750,FWD,4456.0,1796.0,1416.0,5.0,50.0
6,Honda,City V CVT Petrol [2017-2019],11245,49013,Petrol,Automatic,Mumbai,Grey,First,Individual,1497,117.0,4600,FWD,4440.0,1695.0,1495.0,5.0,40.0
10,Ford,Figo Duratorq Diesel Titanium 1.4,3887,64983,Diesel,Manual,Mumbai,Red,First,Individual,1399,68.0,2000,FWD,3795.0,1680.0,1427.0,5.0,45.0
6,Honda,Jazz VX Petrol,7410,92270,Petrol,Manual,Mumbai,Brown,First,Individual,1199,89.0,4800,FWD,3955.0,1694.0,1544.0,5.0,40.0
10,Volkswagen,Polo Highline1.2L (P),5005,65000,Petrol,Manual,Mumbai,White,First,Individual,1198,74.0,3750,FWD,3970.0,1682.0,1453.0,5.0,45.0
9,Honda,Amaze 1.5 SX i-DTEC,4550,110000,Diesel,Manual,Warangal,Black,First,Individual,1498,99.0,1750,FWD,3990.0,1680.0,1505.0,5.0,35.0
6,Toyota,Camry 2.5L AT,30485,47000,Petrol,Automatic,Delhi,Brown,First,Individual,2494,179.0,4100,FWD,4825.0,1825.0,1480.0,5.0,70.0
1,Mahindra,Thar LX 4-STR Hard Top Petrol AT,21450,10000,Petrol,Automatic,Jalandhar,Black,First,Individual,1997,150.0,1500,AWD,3985.0,1820.0,1844.0,4.0,57.0
12,Mercedes-Benz,C-Class 250 CDI Elegance,14300,51500,Diesel,Automatic,Hyderabad,Black,Second,Individual,2143,207.0,1600,RWD,4596.0,1770.0,1447.0,5.0,66.0
5,Audi,Q3 35 TDI quattro Premium Plus,37700,35000,Diesel,Automatic,Pune,White,First,Individual,1968,184.0,1750,AWD,4385.0,1831.0,1608.0,5.0,64.0
6,Maruti Suzuki,Baleno Sigma 1.2,7085,61518,Petrol,Manual,Noida,Red,First,Individual,1197,83.0,4000,FWD,3995.0,1745.0,1500.0,5.0,37.0
5,BMW,X1 sDrive20d xLine,38870,34000,Diesel,Automatic,Delhi,White,First,Corporate,1995,184.0,1750,RWD,4454.0,2044.0,1545.0,5.0,63.0
6,Maruti Suzuki,Baleno Zeta 1.2,7995,36058,Petrol,Manual,Mumbai,Silver,First,Individual,1197,83.0,4000,FWD,3995.0,1745.0,1500.0,5.0,37.0
7,Hyundai,Creta 1.6 SX Plus AT,11570,88000,Diesel,Automatic,Ahmedabad,Silver,First,Individual,1582,126.0,1900,FWD,4270.0,1780.0,1630.0,5.0,60.0
8,Volkswagen,Vento Comfortline Petrol,5590,98112,Petrol,Manual,Mumbai,Brown,First,Individual,1598,103.0,3800,FWD,4384.0,1699.0,1466.0,5.0,55.0
10,Mercedes-Benz,C-Class 220 BlueEfficiency,21450,58000,Diesel,Automatic,Bangalore,Silver,First,Individual,2143,170.0,2800,RWD,4596.0,1770.0,1447.0,5.0,66.0
8,Toyota,Camry Hybrid,20787,92355,Petrol,Automatic,Mumbai,Silver,First,Individual,2494,202.0,4500,FWD,4825.0,1825.0,1480.0,5.0,65.0
4,Maruti Suzuki,DZire VXi,8983,16652,Petrol,Manual,Ahmedabad,White,First,Individual,1197,89.0,4400,FWD,3995.0,1735.0,1515.0,5.0,37.0
7,Nissan,Terrano XV D THP 110 PS,8450,76584,Diesel,Manual,Mumbai,White,First,Individual,1461,108.0,2250,FWD,4331.0,1822.0,1671.0,5.0,50.0
8,Maruti Suzuki,Wagon R LXI CNG,5395,42500,CNG,Manual,Mumbai,Brown,First,Individual,998,58.0,3500,FWD,3599.0,1495.0,1700.0,5.0,35.0
7,Maruti Suzuki,Vitara Brezza LDi (O) [2016-2018],8697,70000,Diesel,Manual,Mohali,Grey,First,Individual,1248,89.0,1750,FWD,3995.0,1790.0,1640.0,5.0,48.0
1,Porsche,Cayenne Coupe Platinum Edition,210600,2766,Petrol,Automatic,Mumbai,Blue,First,Individual,2995,335.0,1340,AWD,4931.0,1983.0,1676.0,4.0,75.0
6,Mercedes-Benz,C-Class Cabriolet C 300,66300,56000,Petrol,Automatic,Ghaziabad,White,Second,Individual,1991,241.0,1300,RWD,4686.0,1810.0,1409.0,4.0,59.0
8,Hyundai,Elite i20 Magna 1.2,6825,68766,Petrol,Manual,Mumbai,Silver,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
5,Hyundai,Verna 1.6 VTVT SX,9750,16339,Petrol,Manual,Kolkata,Black,First,Individual,1591,121.0,4200,FWD,4375.0,1700.0,1475.0,5.0,43.0
7,Honda,Amaze 1.2 SX i-VTEC,5785,63882,Petrol,Manual,Mumbai,Bronze,First,Individual,1198,87.0,4500,FWD,3990.0,1680.0,1505.0,5.0,35.0
11,Toyota,Corolla Altis 1.8 G,6409,28732,Petrol,Manual,Zirakpur,Silver,First,Individual,1798,138.0,4000,FWD,4540.0,1760.0,1480.0,5.0,55.0
6,Hyundai,Elite i20 Sportz 1.2 (O),7943,51349,Petrol,Manual,Nagpur,Red,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
9,Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],6175,61866,Petrol,Automatic,Thane,White,First,Individual,1197,79.0,4000,FWD,3765.0,1660.0,1520.0,5.0,43.0
6,Hyundai,Creta SX Plus 1.6  Petrol,12025,29401,Petrol,Manual,Mumbai,Grey,First,Individual,1591,122.0,4850,FWD,4270.0,1780.0,1630.0,5.0,60.0
11,Audi,A6 2.0 TDI Premium,17225,98580,Diesel,Automatic,Goa,White,First,Individual,1968,177.0,1750,FWD,4915.0,1874.0,1455.0,5.0,65.0
2,BMW,X1 sDrive20d xLine,50700,8000,Diesel,Automatic,Delhi,Black,First,Individual,1995,184.0,1750,RWD,4454.0,2044.0,1545.0,5.0,63.0
3,Mahindra,XUV300 W8 (O) 1.5 Diesel,16887,31348,Diesel,Manual,Bangalore,White,First,Individual,1497,115.0,1500,FWD,3995.0,1821.0,1627.0,5.0,42.0
5,Maruti Suzuki,Swift ZDi Plus,7540,28851,Diesel,Manual,Kolkata,Blue,First,Corporate,1248,74.0,2000,FWD,3840.0,1735.0,1530.0,5.0,37.0
2,Mahindra,Thar LX 4-STR Hard Top Petrol MT,20475,8519,Petrol,Manual,Mumbai,Blue,First,Individual,1997,150.0,1250,AWD,3985.0,1820.0,1844.0,4.0,57.0
12,Honda,City 1.5 S MT,4875,78000,Petrol,Manual,Pune,Bronze,First,Individual,1497,118.0,4600,FWD,4420.0,1695.0,1480.0,5.0,42.0
8,Mercedes-Benz,E-Class E 250 CDI Avantgarde,29250,48000,Diesel,Automatic,Mumbai,White,First,Individual,2143,204.0,1600,RWD,4879.0,1854.0,1474.0,5.0,80.0
9,Toyota,Fortuner 3.0 4x2 AT,18200,143000,Diesel,Automatic,Faridabad,White,Second,Individual,2982,169.0,1400,RWD,4705.0,1840.0,1850.0,7.0,80.0
6,Tata,Zest XM 75 PS Diesel,5525,39000,Diesel,Manual,Ranchi,Silver,First,Commercial Registration,1248,74.0,1750,FWD,3995.0,1706.0,1570.0,5.0,44.0
9,Skoda,Rapid Ambition 1.6 MPI AT Plus,5525,24000,Petrol,Automatic,Mumbai,Beige,Second,Individual,1598,104.0,3800,FWD,4386.0,1699.0,1466.0,5.0,55.0
8,Maruti Suzuki,Alto 800 Lxi,3250,62000,Petrol,Manual,Kanpur,Maroon,Second,Individual,796,47.0,3500,FWD,3395.0,1490.0,1475.0,5.0,35.0
11,Maruti Suzuki,Ertiga VDi,5525,78000,Diesel,Manual,Jalandhar,White,Second,Individual,1248,89.0,1750,FWD,4265.0,1695.0,1685.0,7.0,45.0
9,Ford,Figo Duratorq Diesel ZXI 1.4,3055,82000,Diesel,Manual,Ludhiana,White,Second,Individual,1399,68.0,2000,FWD,3795.0,1680.0,1427.0,5.0,45.0
3,Audi,A3 35 TDI Technology + Sunroof,39650,40910,Diesel,Automatic,Bangalore,White,First,Individual,1968,141.0,1750,FWD,4456.0,1796.0,1416.0,5.0,50.0
3,Tata,Harrier XZ Plus,27885,10290,Diesel,Manual,Bangalore,Red,First,Individual,1956,168.0,1750,FWD,4598.0,1894.0,1706.0,5.0,50.0
2,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,16185,10530,Petrol,Automatic,Bangalore,Red,First,Individual,998,118.0,1500,FWD,3995.0,1775.0,1505.0,5.0,37.0
8,Hyundai,Elite i20 Asta 1.2,7137,61900,Petrol,Manual,Gurgaon,Silver,First,Individual,1197,82.0,4000,FWD,3985.0,1734.0,1505.0,5.0,45.0
10,Volkswagen,Polo Highline1.2L (D),6305,78000,Diesel,Manual,Bangalore,White,Second,Individual,1199,74.0,2000,FWD,3970.0,1682.0,1453.0,5.0,45.0
9,Maruti Suzuki,Swift DZire VXI,5395,57402,Petrol,Manual,Delhi,Grey,First,Individual,1197,85.0,4000,FWD,3995.0,1695.0,1555.0,5.0,42.0
10,Hyundai,Santro GL (CNG),2600,57000,CNG,Manual,Kanpur,White,First,Individual,1086,62.0,3000,FWD,3565.0,1525.0,1590.0,5.0,35.0
8,Hyundai,Grand i10 Sportz 1.2 Kappa VTVT [2013-2016],4875,87500,Petrol,Manual,Gurgaon,Grey,First,Individual,1197,81.0,4000,FWD,3765.0,1660.0,1520.0,5.0,43.0
1,Hyundai,Creta SX (O) 1.4 Turbo 7 DCT Dual Tone [2022-2022],24375,18000,Petrol,Automatic,Delhi,Black,First,Individual,1353,138.0,1500,FWD,4300.0,1790.0,1635.0,5.0,50.0
3,Audi,Q2 Premium Plus I 40 TFSI quattro,38350,10700,Petrol,Automatic,Ahmedabad,White,First,Individual,1984,188.0,1500,AWD,4318.0,1805.0,1548.0,5.0,55.0
5,Audi,Q7 45 TDI Premium Plus,63700,78000,Diesel,Automatic,Chandigarh,Black,First,Individual,2967,245.0,1500,AWD,5052.0,1968.0,1740.0,7.0,75.0
3,Hyundai,Elite i20 Asta (O) 1.0 Turbo DCT,13650,16282,Petrol,Automatic,Pune,White,First,Individual,998,118.0,1500,FWD,3995.0,1775.0,1505.0,5.0,37.0
10,Hyundai,Verna Fluidic 1.6 CRDi SX,6110,66000,Diesel,Manual,Amritsar,Grey,Third,Individual,1582,126.0,1900,FWD,4370.0,1700.0,1475.0,5.0,43.0
6,Maruti Suzuki,Wagon R VXI,4485,72019,Petrol,Manual,Ranchi,Silver,Second,Individual,998,67.0,3500,FWD,3599.0,1495.0,1700.0,5.0,35.0
16,Mahindra,Scorpio 2.6 Turbo 7 Str,7150,92170,Diesel,Manual,Ranchi,White,Second,Individual,2609,116.0,1700,RWD,4495.0,1817.0,1975.0,7.0,60.0
5,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],6305,55221,Petrol,Manual,Mumbai,White,First,Individual,1197,81.0,4000,FWD,3765.0,1660.0,1520.0,5.0,43.0
5,Toyota,Fortuner 2.8 4x2 AT [2016-2020],43550,25000,Diesel,Automatic,Noida,White,First,Individual,2755,174.0,1600,RWD,4795.0,1855.0,1835.0,7.0,80.0
1,Audi,Q5 45 TFSI Premium Plus,73463,1,Petrol,Automatic,Delhi,Blue,UnRegistered Car,Individual,1984,248.0,1600,AWD,4663.0,1898.0,1659.0,5.0,70.0
3,Renault,Duster RXS 1.5 Petrol MT,11570,23500,Petrol,Manual,Chennai,White,First,Individual,1498,105.0,4000,FWD,4360.0,1822.0,1695.0,5.0,50.0
11,Maruti Suzuki,Swift DZire VXI,4225,68000,Petrol,Manual,Kanpur,White,Second,Individual,1197,85.0,4000,FWD,3995.0,1695.0,1555.0,5.0,42.0
4,Hyundai,Creta SX 1.6 AT Petrol,18070,29096,Petrol,Automatic,Mumbai,White,First,Individual,1591,122.0,4850,FWD,4270.0,1780.0,1665.0,5.0,55.0
7,Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2013-2016],5980,61223,Petrol,Manual,Kanpur,White,First,Individual,1197,81.0,4000,FWD,3765.0,1660.0,1520.0,5.0,43.0
6,Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],13975,86000,Diesel,Manual,Ludhiana,White,First,Individual,1956,171.0,1750,FWD,4395.0,1818.0,1640.0,5.0,60.0
10,Hyundai,Verna EX 1.6 CRDi [2017-2018],6305,87000,Diesel,Manual,Ludhiana,White,First,Individual,1582,126.0,1500,FWD,4440.0,1729.0,1475.0,5.0,45.0
10,Hyundai,i20 Magna 1.2,5005,79287,Petrol,Manual,Kanpur,White,First,Individual,1197,83.0,4000,FWD,3995.0,1710.0,1505.0,5.0,45.0
5,Audi,A6 35 TDI Matrix,50700,48945,Diesel,Automatic,Goa,Black,First,Corporate,1968,190.0,1750,FWD,4933.0,1874.0,1455.0,5.0,75.0
4,Mahindra,Marazzo M2 8 STR,13650,17000,Diesel,Manual,Lucknow,Green,First,Individual,1497,121.0,1750,FWD,4585.0,1866.0,1774.0,8.0,45.0
4,Kia,Seltos HTX Plus 1.5 Diesel [2020-2021],20475,55000,Diesel,Manual,Lucknow,Silver,First,Individual,1493,113.0,1500,FWD,4315.0,1800.0,1645.0,5.0,50.0
7,Maruti Suzuki,Baleno Alpha 1.2,8515,38779,Petrol,Manual,Mumbai,Blue,First,Individual,1197,83.0,4000,FWD,3995.0,1745.0,1500.0,5.0,37.0
4,Mercedes-Benz,E-Class E 220d Expression [2019-2019],58500,72000,Diesel,Automatic,Pune,White,First,Individual,1950,192.0,1600,RWD,5063.0,1860.0,1494.0,5.0,80.0
7,Maruti Suzuki,Ertiga ZDI + SHVS,11245,67000,Diesel,Manual,Navi Mumbai,White,First,Individual,1248,89.0,1750,FWD,4296.0,1695.0,1685.0,7.0,45.0
6,Hyundai,Verna Fluidic 1.6 VTVT SX,9087,67000,Petrol,Manual,Navi Mumbai,White,First,Individual,1591,121.0,4200,FWD,4370.0,1700.0,1475.0,5.0,43.0
11,Hyundai,Verna Fluidic 1.6 CRDi SX,5525,70000,Diesel,Manual,Jalandhar,White,Second,Individual,1582,126.0,1900,FWD,4370.0,1700.0,1475.0,5.0,43.0
3,Land Rover,Discovery Sport S,84500,6000,Diesel,Automatic,Hyderabad,White,First,Individual,1999,177.0,1750,AWD,4600.0,2069.0,1724.0,7.0,70.0
6,Toyota,Fortuner 2.8 4x2 AT [2016-2020],37700,46000,Diesel,Automatic,Delhi,White,First,Individual,2755,174.0,1600,RWD,4795.0,1855.0,1835.0,7.0,80.0
6,Mercedes-Benz,GLE 250 d,59150,34000,Diesel,Automatic,Navi Mumbai,Silver,First,Individual,2143,201.0,1600,AWD,4819.0,2141.0,1796.0,5.0,93.0
8,Hyundai,Xcent S 1.2 (O),6370,23103,Petrol,Manual,Udupi,White,First,Individual,1197,81.0,4000,FWD,3995.0,1660.0,1520.0,5.0,43.0
